Ins|y|102|{(0,23),(1,26),(2,32),(3,14),(4,20),}|0
Ins|q|192|{(0,22),(1,26),(2,33),(3,14),(4,22),}|4
Ins|t|153|{(0,22),(1,26),(2,33),(3,17),(4,21),}|3
Ins|o|180|{(0,23),(1,26),(2,33),(3,15),(4,23),}|4
Ins|p|91|{(0,24),(1,26),(2,33),(3,14),(4,21),}|0
Ins|wfjnxxfuoqijeuuofrycynnqnzqokjseyjmwgkqgchagpbt|194|{(0,23),(1,26),(2,34),(3,16),(4,22),}|2
del|39|17|{(0,23),(1,26),(2,33),(3,16),(4,24),}|4
Ins|b|106|{(0,23),(1,26),(2,35),(3,16),(4,22),}|2
del|1|192|{(0,23),(1,26),(2,34),(3,16),(4,25),}|4
Ins|t|63|{(0,23),(1,26),(2,33),(3,18),(4,22),}|3
Ins|s|43|{(0,23),(1,26),(2,34),(3,16),(4,26),}|4
Ins|a|194|{(0,24),(1,26),(2,35),(3,19),(4,24),}|3
Ins|d|158|{(0,24),(1,26),(2,34),(3,17),(4,27),}|4
Ins|b|19|{(0,25),(1,26),(2,34),(3,17),(4,25),}|0
Ins|s|90|{(0,24),(1,26),(2,34),(3,18),(4,28),}|4
del|1|14|{(0,25),(1,26),(2,35),(3,20),(4,28),}|3
Ins|q|138|{(0,25),(1,26),(2,35),(3,21),(4,28),}|3
Ins|h|207|{(0,25),(1,27),(2,35),(3,19),(4,28),}|1
Ins|v|94|{(0,25),(1,28),(2,35),(3,19),(4,28),}|1
Ins|qqoypoknggjtymufuaihtolgijmqeiltrgctuy|38|{(0,25),(1,26),(2,36),(3,20),(4,28),}|2
del|1|39|{(0,25),(1,26),(2,35),(3,22),(4,28),}|3
Ins|s|62|{(0,25),(1,29),(2,35),(3,21),(4,28),}|1
Ins|p|92|{(0,25),(1,30),(2,35),(3,21),(4,28),}|1
Ins|f|105|{(0,25),(1,28),(2,35),(3,23),(4,28),}|3
del|40|97|{(0,25),(1,26),(2,35),(3,19),(4,29),}|4
Ins|k|156|{(0,25),(1,31),(2,35),(3,21),(4,28),}|1
Ins|n|55|{(0,26),(1,28),(2,36),(3,21),(4,28),}|0
Ins|m|69|{(0,25),(1,30),(2,35),(3,23),(4,30),}|4
Ins|a|227|{(0,25),(1,32),(2,36),(3,22),(4,29),}|1
del|1|124|{(0,25),(1,31),(2,36),(3,23),(4,31),}|4
Ins|nrcrobyegghfnifhheuwmznfdghvwgtol|10|{(0,26),(1,33),(2,36),(3,23),(4,29),}|1
Ins|nhlveljawloaogqntgntkmxkjzasmhzhakfb|146|{(0,26),(1,32),(2,37),(3,23),(4,30),}|2
del|1|46|{(0,27),(1,33),(2,36),(3,23),(4,30),}|0
Ins|s|80|{(0,26),(1,32),(2,37),(3,23),(4,32),}|4
Ins|e|51|{(0,26),(1,33),(2,36),(3,24),(4,31),}|3
Ins|s|289|{(0,26),(1,33),(2,37),(3,23),(4,33),}|4
del|1|114|{(0,26),(1,34),(2,37),(3,23),(4,31),}|1
Ins|t|149|{(0,27),(1,35),(2,37),(3,24),(4,31),}|1
Ins|x|10|{(0,27),(1,36),(2,37),(3,24),(4,31),}|1
del|1|265|{(0,27),(1,37),(2,37),(3,24),(4,32),}|1
del|1|174|{(0,27),(1,33),(2,37),(3,23),(4,34),}|4
Ins|d|153|{(0,27),(1,34),(2,37),(3,23),(4,35),}|4
Ins|l|109|{(0,27),(1,33),(2,38),(3,23),(4,31),}|2
Ins|c|65|{(0,27),(1,35),(2,37),(3,25),(4,33),}|3
Ins|k|74|{(0,28),(1,35),(2,37),(3,24),(4,33),}|0
del|1|218|{(0,27),(1,37),(2,39),(3,24),(4,33),}|2
Ins|c|240|{(0,27),(1,37),(2,37),(3,26),(4,35),}|3
del|1|231|{(0,29),(1,37),(2,37),(3,24),(4,33),}|0
